id;sus;ue-name;date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;28;29;30;31;32;33;34;
1;be1;exk;20.09.2022;4;3;5;1;4;4;4;4;0;1;4;4;4;1;3;1;;5;5;5;4;2;4;4;2.00;wöchentlich;seltener;im Schulbuch. am Computer;18;m;5;ja ;
2;be2;exk;20.09.2022;3;3;5;1;3;3;5;5;4;3;4;3;4;1;4;1;;4;5;5;5;1;3;3;Feb 25;wöchentlich;seltener;im Schulbuch. mit dem Tablet/Smartphone;18;m;5;ja ;
3;be3;exk;20.09.2022;3;4;5;2;2;4;3;3;4;4;4;1;1;1;4;1;;4;4;4;5;1;2;4;Feb 25;täglich;seltener;im Schulbuch. am Computer. mit dem Tablet/Smartphone;17;m;5;ja ;
4;be4;exk;20.09.2022;4;3;4;1;5;5;4;5;1;4;5;1;5;4;1;1;;5;5;5;5;1;4;5;1.00;wöchentlich;monatlich;im Schulbuch. am Computer. mit dem Tablet/Smartphone;18;k;5;ja ;
5;be5;exk;20.09.2022;4;2;3;1;3;3;4;4;2;2;3;3;3;3;4;1;;5;4;4;3;3;4;2;;wöchentlich;monatlich;im Schulbuch. am Computer. mit dem Tablet/Smartphone;17;m;5;ja ;
6;be6;exk;20.09.2022;3;2;5;1;3;4;5;5;4;2;4;2;2;1;3;2;;5;5;5;5;1;5;2;Jan 25;wöchentlich;seltener;im Schulbuch. am Computer. mit dem Tablet/Smartphone;17;k;5;ja ;
7;be7;exk;20.09.2022;5;4;4;1;5;4;4;5;3;2;5;3;3;1;2;3;;4;5;5;5;1;3;3;2.00;wöchentlich;monatlich;im Schulbuch. am Computer. mit dem Tablet/Smartphone;18;m;5;ja ;
8;be8;exk;20.09.2022;3;2;4;1;3;4;4;4;4;4;3;1;3;2;4;2;;5;4;4;4;1;4;2;Feb 25;täglich;wöchentlich;im Schulbuch. am Computer. mit dem Tablet/Smartphone;17;m;5;ja ;
9;be9;exk;20.09.2022;4;4;5;1;5;5;5;5;4;5;4;5;5;1;5;1;;5;5;5;5;1;4;4;Feb 25;wöchentlich;wöchentlich;im Schulbuch. am Computer. mit dem Tablet/Smartphone;17;k;4;ja ;
10;be10;exk;20.09.2022;4;3;4;4;4;3;4;3;3;3;4;4;5;4;3;5;;3;3;4;4;4;3;4;Mrz 25;täglich;seltener;im Schulbuch. am Computer. mit dem Tablet/Smartphone;18;m;5;ja ;
11;be11;exk;20.09.2022;3;3;3;2;3;3;3;3;2;3;3;3;3;3;4;3;;4;3;5;4;2;2;3;;wöchentlich;seltener;im Schulbuch. am Computer. mit dem Tablet/Smartphone;18;m;5;ja ;
12;be12;exk;20.09.2022;3;3;5;1;4;4;5;5;3;3;3;3;4;1;4;5;;5;5;5;5;5;5;4;;wöchentlich;monatlich;am Computer;16;m;5;ja ;
13;be13;exk;20.09.2022;4;3;3;4;5;4;3;3;4;2;3;4;4;2;3;4;;4;4;5;4;3;4;4;;wöchentlich;wöchentlich;am Computer;17;k;3;nein ;
14;be14;exk;;3;3;4;1;3;4;4;5;4;4;4;3;3;1;5;1;;4;5;4;4;1;2;3;Feb 25;wöchentlich;wöchentlich;am Computer;17;m;5;ja ;
15;be15;exk;20.09.2022;4;2;3;1;2;1;4;1;2;2;2;1;3;1;3;5;;3;2;2;4;2;2;5;Feb 75;wöchentlich;seltener;am Computer;17;w;4;ja ;
16;be16;exk;21.09.2022;5;3;5;1;4;3;5;4;4;3;4;2;4;1;5;1;;4;5;5;4;1;4;4;Jan 50;wöchentlich;wöchentlich;am Computer;17;m;5;ja ;
17;be17;exk;20.09.2022;3;4;4;2;4;4;4;4;5;4;2;4;3;2;4;2;;5;5;5;3;3;4;4;Feb 25;wöchentlich;wöchentlich;am Computer. mit dem Tablet/Smartphone;17;m;5;ja ;
18;be18;exk;;4;4;5;2;4;4;5;5;3;4;3;5;5;2;5;4;;5;4;5;5;2;5;5;Feb 25;wöchentlich;wöchentlich;am Computer. mit dem Tablet/Smartphone;17;w;5;ja ;
19;be19;exk;20.09.2022;3;3;3;2;4;4;3;5;5;5;5;3;2;3;4;1;;5;5;5;5;1;3;2;Feb 25;wöchentlich;seltener;am Computer;17;m;5;ja ;
20;be20;exk;20.09.2022;4;4;3;2;3;4;2;2;0;3;3;4;3;3;2;2;;4;5;4;5;2;2;4;Jan 75;wöchentlich;monatlich;im Schulbuch. am Computer. mit dem Tablet/Smartphone;17;w;5;ja ;
